 Thermal Energy Group NG
 n1=           1

   48 0.22983E+00 0.61251E+00 0.00000E+00 0.29825E+00 0.30472E+00 0.00000E+00 0.45520E+02
   49 0.80756E+00 0.80756E+00 0.00000E+00 0.10817E+01 0.10817E+01 0.00000E+00 0.57712E+02
   50 0.10344E+01 0.10649E+01 0.00000E+00 0.23655E+01 0.23741E+01 0.00000E+00 0.59517E+02
   51 0.00000E+00 0.99635E-01 0.00000E+00 0.13362E+00 0.77634E-01 0.00000E+00 0.17618E+02
   52 0.87969E+00 0.76338E+00 0.00000E+00 0.52752E+00 0.54930E+00 0.00000E+00 0.49652E+02
   53 0.22907E+00 0.35733E+00 0.00000E+00 0.39074E+00 0.25298E+00 0.00000E+00 0.45386E+02
   54 0.35774E+00 0.22941E+00 0.00000E+00 0.28577E+00 0.30601E+00 0.00000E+00 0.45785E+02
   55 0.82004E+00 0.80110E+00 0.00000E+00 0.10511E+01 0.10129E+01 0.00000E+00 0.57805E+02
   56 0.10649E+01 0.10344E+01 0.00000E+00 0.23741E+01 0.23655E+01 0.00000E+00 0.59517E+02
   57-0.39538E-07 0.29708E+00 0.00000E+00 0.51199E+00 0.11938E+00 0.00000E+00 0.22622E+02
   58 0.48599E+00 0.20728E+00 0.00000E+00 0.30129E+00 0.33032E+00 0.00000E+00 0.45891E+02
   59 0.80452E+00 0.85284E+00 0.00000E+00 0.10754E+01 0.11252E+01 0.00000E+00 0.57632E+02
   60 0.10407E+01 0.79981E+00 0.00000E+00 0.98990E+00 0.24843E+01 0.00000E+00 0.58609E+02
   61 0.11262E+01 0.11032E+01 0.00000E+00 0.22462E+01 0.26207E+01 0.00000E+00 0.59260E+02
   62 0.13375E-07 0.43353E+00 0.00000E+00 0.14316E+01 0.13257E+01 0.00000E+00 0.29476E+02
   63 0.13898E+01 0.77549E+00 0.00000E+00 0.98858E+00 0.25684E+01 0.00000E+00 0.58906E+02
   64 0.11275E+01 0.99083E+00 0.00000E+00 0.21221E+01 0.26998E+01 0.00000E+00 0.59416E+02
