    1  -1 0.99000E+00 0.80000E+00 0.80000E+00
    2  -1 0.99000E+00 0.80000E+00 0.80000E+00
    3  -1 0.99000E+00 0.80000E+00 0.80000E+00
    4  -1 0.99000E+00 0.80000E+00 0.80000E+00
    5   0 0.99000E+00 0.80000E+00 0.80000E+00
    6   1 0.99000E+00 0.80000E+00 0.80000E+00
    7   2 0.99000E+00 0.80000E+00 0.80000E+00
    8   3 0.99000E+00 0.80000E+00 0.92001E+00
    9   4 0.99000E+00 0.80000E+00 0.92694E+00
   10   5 0.99000E+00 0.80000E+00 0.93185E+00
    1  -1 0.99000E+00 0.93185E+00 0.93185E+00
    2  -1 0.99000E+00 0.93185E+00 0.93185E+00
    3  -1 0.99000E+00 0.93185E+00 0.93185E+00
    4  -1 0.99000E+00 0.93185E+00 0.93185E+00
    5   0 0.99000E+00 0.93185E+00 0.93185E+00
    6   1 0.99000E+00 0.93185E+00 0.93185E+00
    7   2 0.99000E+00 0.93185E+00 0.93185E+00
    8   3 0.99000E+00 0.93185E+00 0.95639E+00
    9   4 0.99000E+00 0.93185E+00 0.95976E+00
   10   5 0.99000E+00 0.93185E+00 0.96182E+00
    1  -1 0.99000E+00 0.96182E+00 0.96182E+00
    2  -1 0.99000E+00 0.96182E+00 0.96182E+00
    3  -1 0.99000E+00 0.96182E+00 0.96182E+00
    4  -1 0.99000E+00 0.96182E+00 0.96182E+00
    5   0 0.99000E+00 0.96182E+00 0.96182E+00
    6   1 0.99000E+00 0.96182E+00 0.96182E+00
    7   2 0.99000E+00 0.96182E+00 0.96182E+00
    8   3 0.99000E+00 0.96182E+00 0.96992E+00
    9   4 0.99000E+00 0.96182E+00 0.97040E+00
   10   5 0.99000E+00 0.96182E+00 0.97086E+00
    1  -1 0.99000E+00 0.97086E+00 0.97086E+00
    2  -1 0.99000E+00 0.97086E+00 0.97086E+00
    3  -1 0.99000E+00 0.97086E+00 0.97086E+00
    4  -1 0.99000E+00 0.97086E+00 0.97086E+00
    5   0 0.99000E+00 0.97086E+00 0.97086E+00
    6   1 0.99000E+00 0.97086E+00 0.97086E+00
    7   2 0.99000E+00 0.97086E+00 0.97086E+00
    8   3 0.99000E+00 0.97086E+00 0.97263E+00
    9   4 0.99000E+00 0.97086E+00 0.97266E+00
   10   5 0.99000E+00 0.97086E+00 0.97333E+00
    1  -1 0.99000E+00 0.97333E+00 0.97333E+00
    2  -1 0.99000E+00 0.97333E+00 0.97333E+00
    3  -1 0.99000E+00 0.97333E+00 0.97333E+00
    4  -1 0.99000E+00 0.97333E+00 0.97333E+00
    5   0 0.99000E+00 0.97333E+00 0.97333E+00
    6   1 0.99000E+00 0.97333E+00 0.97333E+00
    7   2 0.99000E+00 0.97333E+00 0.97333E+00
    8   3 0.99000E+00 0.97333E+00 0.97333E+00
    9   4 0.99000E+00 0.97333E+00 0.97333E+00
   10   5 0.99000E+00 0.97333E+00 0.97333E+00
    1  -1 0.99000E+00 0.97333E+00 0.97333E+00
    2  -1 0.99000E+00 0.97333E+00 0.97333E+00
    3  -1 0.99000E+00 0.97333E+00 0.97333E+00
    4  -1 0.99000E+00 0.97333E+00 0.97333E+00
    5   0 0.99000E+00 0.97333E+00 0.97333E+00
    6   1 0.99000E+00 0.97333E+00 0.97333E+00
    7   2 0.99000E+00 0.97333E+00 0.97333E+00
    8   3 0.99000E+00 0.97333E+00 0.97333E+00
    9   4 0.99000E+00 0.97333E+00 0.97333E+00
   10   5 0.99000E+00 0.97333E+00 0.97333E+00
    1  -1 0.99000E+00 0.97333E+00 0.97333E+00
    2  -1 0.99000E+00 0.97333E+00 0.97333E+00
    3  -1 0.99000E+00 0.97333E+00 0.97333E+00
    4  -1 0.99000E+00 0.97333E+00 0.97333E+00
    5   0 0.99000E+00 0.97333E+00 0.97333E+00
    6   1 0.99000E+00 0.97333E+00 0.97333E+00
    7   2 0.99000E+00 0.97333E+00 0.97333E+00
    8   3 0.99000E+00 0.97333E+00 0.97333E+00
    9   4 0.99000E+00 0.97333E+00 0.97333E+00
   10   5 0.99000E+00 0.97333E+00 0.97333E+00
    1  -1 0.99000E+00 0.97333E+00 0.97333E+00
    2  -1 0.99000E+00 0.97333E+00 0.97333E+00
    3  -1 0.99000E+00 0.97333E+00 0.97333E+00
    4  -1 0.99000E+00 0.97333E+00 0.97333E+00
    5   0 0.99000E+00 0.97333E+00 0.97333E+00
    6   1 0.99000E+00 0.97333E+00 0.97333E+00
    7   2 0.99000E+00 0.97333E+00 0.97333E+00
    8   3 0.99000E+00 0.97333E+00 0.97333E+00
    9   4 0.99000E+00 0.97333E+00 0.97333E+00
   10   5 0.99000E+00 0.97333E+00 0.97333E+00
    1  -1 0.99000E+00 0.97333E+00 0.97333E+00
    2  -1 0.99000E+00 0.97333E+00 0.97333E+00
    3  -1 0.99000E+00 0.97333E+00 0.97333E+00
    4  -1 0.99000E+00 0.97333E+00 0.97333E+00
    5   0 0.99000E+00 0.97333E+00 0.97333E+00
    6   1 0.99000E+00 0.97333E+00 0.97333E+00
    7   2 0.99000E+00 0.97333E+00 0.97333E+00
    8   3 0.99000E+00 0.97333E+00 0.97333E+00
    9   4 0.99000E+00 0.97333E+00 0.97333E+00
   10   5 0.99000E+00 0.97333E+00 0.97333E+00
    1  -1 0.99000E+00 0.97333E+00 0.97333E+00
    2  -1 0.99000E+00 0.97333E+00 0.97333E+00
    3  -1 0.99000E+00 0.97333E+00 0.97333E+00
    4  -1 0.99000E+00 0.97333E+00 0.97333E+00
    5   0 0.99000E+00 0.97333E+00 0.97333E+00
    6   1 0.99000E+00 0.97333E+00 0.97333E+00
    7   2 0.99000E+00 0.97333E+00 0.97333E+00
    8   3 0.99000E+00 0.97333E+00 0.97333E+00
    9   4 0.99000E+00 0.97333E+00 0.97333E+00
   10   5 0.99000E+00 0.97333E+00 0.97463E+00
    1  -1 0.99000E+00 0.97463E+00 0.97463E+00
    2  -1 0.99000E+00 0.97463E+00 0.97463E+00
    3  -1 0.99000E+00 0.97463E+00 0.97463E+00
    4  -1 0.99000E+00 0.97463E+00 0.97463E+00
    5   0 0.99000E+00 0.97463E+00 0.97463E+00
    6   1 0.99000E+00 0.97463E+00 0.97463E+00
    7   2 0.99000E+00 0.97463E+00 0.97463E+00
    8   3 0.99000E+00 0.97463E+00 0.97463E+00
    9   4 0.99000E+00 0.97463E+00 0.97463E+00
   10   5 0.99000E+00 0.97463E+00 0.98856E+00
    1  -1 0.99000E+00 0.98856E+00 0.98856E+00
    2  -1 0.99000E+00 0.98856E+00 0.98856E+00
    3  -1 0.99000E+00 0.98856E+00 0.98856E+00
    4  -1 0.99000E+00 0.98856E+00 0.98856E+00
    5   0 0.99000E+00 0.98000E+00 0.98000E+00
    6   1 0.99000E+00 0.98000E+00 0.98000E+00
    7   2 0.99000E+00 0.98000E+00 0.98000E+00
    8   3 0.99000E+00 0.98000E+00 0.98841E+00
    9   4 0.99000E+00 0.98000E+00 0.98903E+00
   10   5 0.99000E+00 0.98000E+00 0.99127E+00
    1  -1 0.99000E+00 0.99127E+00 0.99127E+00
    2  -1 0.99000E+00 0.99127E+00 0.99127E+00
    3  -1 0.99000E+00 0.99127E+00 0.99127E+00
    4  -1 0.99000E+00 0.99127E+00 0.99127E+00
    1  -1 0.99000E+00 0.99127E+00 0.99127E+00
    2  -1 0.99000E+00 0.99127E+00 0.99127E+00
    3  -1 0.99000E+00 0.99127E+00 0.99127E+00
    1  -1 0.99000E+00 0.99127E+00 0.99127E+00
    2  -1 0.99000E+00 0.99127E+00 0.99127E+00
    1  -1 0.99000E+00 0.99127E+00 0.99127E+00
    2  -1 0.99000E+00 0.99127E+00 0.99127E+00
    1  -1 0.99000E+00 0.99127E+00 0.99127E+00
    1  -1 0.34539E+00 0.79200E+00 0.79200E+00
    2  -1 0.61951E+00 0.79200E+00 0.79200E+00
    3  -1 0.70356E+00 0.79200E+00 0.79200E+00
    4  -1 0.75527E+00 0.79200E+00 0.79200E+00
    5   0 0.79426E+00 0.79200E+00 0.79200E+00
    6   1 0.85076E+00 0.79200E+00 0.79200E+00
    7   2 0.90526E+00 0.79200E+00 0.79200E+00
    8   3 0.92204E+00 0.79200E+00 0.86793E+00
    9   4 0.93172E+00 0.79200E+00 0.88109E+00
   10  -1 0.93688E+00 0.79200E+00 0.89044E+00
   11   0 0.94074E+00 0.89044E+00 0.89044E+00
   12   1 0.94314E+00 0.89044E+00 0.89044E+00
   13   2 0.94785E+00 0.89044E+00 0.89044E+00
   14   3 0.95179E+00 0.89044E+00 0.94515E+00
   15   4 0.95441E+00 0.89044E+00 0.94695E+00
   16  -1 0.95612E+00 0.89044E+00 0.94845E+00
   17   0 0.95727E+00 0.94845E+00 0.94845E+00
   18   1 0.95765E+00 0.94845E+00 0.94845E+00
   19   2 0.95850E+00 0.94845E+00 0.94845E+00
   20   3 0.95930E+00 0.94845E+00 0.95813E+00
   21   4 0.95969E+00 0.94845E+00 0.95857E+00
   22  -1 0.95969E+00 0.94845E+00 0.95891E+00
   23   0 0.95957E+00 0.95891E+00 0.95891E+00
   24   1 0.95960E+00 0.95891E+00 0.95891E+00
   25   2 0.95967E+00 0.95891E+00 0.95891E+00
   26   3 0.95974E+00 0.95891E+00 0.95963E+00
   27   4 0.95977E+00 0.95891E+00 0.95968E+00
   28   5 0.95973E+00 0.95891E+00 0.95971E+00
    1  -1 0.26142E+00 0.76779E+00 0.76779E+00
    2  -1 0.53959E+00 0.76779E+00 0.76779E+00
    3  -1 0.64051E+00 0.76779E+00 0.76779E+00
    4  -1 0.70508E+00 0.76779E+00 0.76779E+00
    5   0 0.75438E+00 0.76779E+00 0.76779E+00
    6   1 0.82605E+00 0.76779E+00 0.76779E+00
    7   2 0.88723E+00 0.76779E+00 0.76779E+00
    8   3 0.90704E+00 0.76779E+00 0.84402E+00
    9   4 0.91782E+00 0.76779E+00 0.85910E+00
   10  -1 0.92343E+00 0.76779E+00 0.86982E+00
   11   0 0.92780E+00 0.86982E+00 0.86982E+00
   12   1 0.93057E+00 0.86982E+00 0.86982E+00
   13   2 0.93582E+00 0.86982E+00 0.86982E+00
   14   3 0.94004E+00 0.86982E+00 0.93280E+00
   15   4 0.94285E+00 0.86982E+00 0.93474E+00
   16  -1 0.94477E+00 0.86982E+00 0.93637E+00
   17   0 0.94615E+00 0.93637E+00 0.93637E+00
   18   1 0.94668E+00 0.93637E+00 0.93637E+00
   19   2 0.94789E+00 0.93637E+00 0.93637E+00
   20   3 0.94904E+00 0.93637E+00 0.94739E+00
    1  -1 0.34405E+00 0.75923E+00 0.75923E+00
    2  -1 0.63999E+00 0.75923E+00 0.75923E+00
    3  -1 0.71816E+00 0.75923E+00 0.75923E+00
    4  -1 0.76553E+00 0.75923E+00 0.75923E+00
    5   0 0.80107E+00 0.75923E+00 0.75923E+00
    6   1 0.85023E+00 0.75923E+00 0.75923E+00
    7   2 0.89770E+00 0.75923E+00 0.75923E+00
    8   3 0.91360E+00 0.75923E+00 0.86317E+00
    9   4 0.92194E+00 0.75923E+00 0.87531E+00
   10  -1 0.92700E+00 0.75923E+00 0.88405E+00
   11   0 0.93084E+00 0.88405E+00 0.88405E+00
   12   1 0.93335E+00 0.88405E+00 0.88405E+00
   13   2 0.93831E+00 0.88405E+00 0.88405E+00
   14   3 0.94237E+00 0.88405E+00 0.93550E+00
   15   4 0.94497E+00 0.88405E+00 0.93736E+00
   16  -1 0.94660E+00 0.88405E+00 0.93889E+00
   17   0 0.94768E+00 0.93889E+00 0.93889E+00
