    1  -1 0.15568E-01 0.75308E+00 0.31902E+00 0.50000E+03
    2  -1 0.20899E-02 0.15865E+00 0.23106E+00 0.50000E+03
    3  -1 0.13168E-02 0.96265E-01 0.16836E+00 0.50000E+03
    4  -1 0.10005E-02 0.73147E-01 0.12650E+00 0.50000E+03
    5   0 0.83324E-03 0.56624E-01 0.16479E+00 0.50000E+03
    6   1 0.67267E-03 0.40146E-01 0.19838E+00 0.50000E+03
    7   2 0.53252E-03 0.36068E-01 0.11692E+00 0.50000E+03
    8   3 0.45257E-03 0.27181E-01 0.95534E-01 0.12501E+04
    9   4 0.39747E-03 0.21808E-01 0.86395E-01 0.13687E+04
   10   5 0.35398E-03 0.19354E-01 0.79231E-01 0.14674E+04
    1  -1 0.45918E-04 0.37079E-01 0.10626E+00 0.14674E+04
    2  -1 0.21781E-04 0.22102E-01 0.52068E-01 0.14674E+04
    3  -1 0.16550E-04 0.14927E-01 0.36253E-01 0.14674E+04
    4  -1 0.14538E-04 0.11285E-01 0.30662E-01 0.14674E+04
    5   0 0.13380E-04 0.10405E-01 0.52831E-01 0.14674E+04
    6   1 0.11869E-04 0.10141E-01 0.10959E+00 0.14674E+04
    7   2 0.95669E-05 0.94685E-02 0.10396E+00 0.14674E+04
    8   3 0.78034E-05 0.78034E-02 0.62325E-01 0.22932E+04
    9   4 0.65626E-05 0.64235E-02 0.45134E-01 0.24851E+04
   10   5 0.56310E-05 0.55045E-02 0.34669E-01 0.26191E+04
    1  -1 0.54489E-05 0.53950E-02 0.14845E-01 0.26191E+04
    2  -1 0.49994E-05 0.45008E-02 0.69135E-02 0.26191E+04
    3  -1 0.48025E-05 0.43942E-02 0.61410E-02 0.26191E+04
    4  -1 0.46399E-05 0.42627E-02 0.58037E-02 0.26191E+04
    5   0 0.44871E-05 0.41068E-02 0.10603E-01 0.26191E+04
    6   1 0.42149E-05 0.38067E-02 0.24776E-01 0.26191E+04
    7   2 0.35884E-05 0.31832E-02 0.27815E-01 0.26191E+04
    8   3 0.28921E-05 0.25035E-02 0.26021E-01 0.33250E+04
    9   4 0.22952E-05 0.19317E-02 0.23362E-01 0.33789E+04
   10   5 0.18324E-05 0.14879E-02 0.18744E-01 0.34316E+04
    1  -1 0.15534E-05 0.12360E-02 0.23943E-02 0.34316E+04
    2  -1 0.14857E-05 0.11767E-02 0.17143E-02 0.34316E+04
    3  -1 0.14364E-05 0.11179E-02 0.15210E-02 0.34316E+04
    4  -1 0.13948E-05 0.10746E-02 0.14236E-02 0.34316E+04
    5   0 0.13527E-05 0.10320E-02 0.26827E-02 0.34316E+04
    6   1 0.12779E-05 0.96208E-03 0.66852E-02 0.34316E+04
    7   2 0.10935E-05 0.79940E-03 0.81413E-02 0.34316E+04
    8   3 0.88190E-06 0.63025E-03 0.77949E-02 0.36531E+04
    9   4 0.67900E-06 0.46470E-03 0.68084E-02 0.36577E+04
   10   5 0.52835E-06 0.36457E-03 0.54214E-02 0.37492E+04
    1  -1 0.11957E-04 0.64432E-02 0.16545E-01 0.37492E+04
    2  -1 0.29103E-05 0.22054E-02 0.95207E-02 0.37492E+04
    3  -1 0.23399E-05 0.14969E-02 0.68690E-02 0.37492E+04
    4  -1 0.20331E-05 0.11510E-02 0.55464E-02 0.37492E+04
    5   0 0.18031E-05 0.10439E-02 0.90977E-02 0.37492E+04
    6   1 0.14567E-05 0.91761E-03 0.19280E-01 0.37492E+04
    7   2 0.92974E-06 0.66824E-03 0.15958E-01 0.37492E+04
    8   3 0.84246E-06 0.59959E-03 0.79011E-02 0.37492E+04
    9   4 0.70376E-06 0.53224E-03 0.10089E-01 0.37492E+04
   10   5 0.42463E-06 0.39301E-03 0.88902E-02 0.37492E+04
    1  -1 0.15637E-04 0.90578E-02 0.19040E-01 0.37492E+04
    2  -1 0.29926E-05 0.24027E-02 0.10368E-01 0.37492E+04
    3  -1 0.21720E-05 0.15829E-02 0.69443E-02 0.37492E+04
    4  -1 0.18328E-05 0.12645E-02 0.51959E-02 0.37492E+04
    5   0 0.16264E-05 0.10702E-02 0.80401E-02 0.37492E+04
